,IDCrop,Crop_Sequence_Trt_Species_Legume_Harvested,Crop_Sequence_Trt_Cultivar_Name,Crop_Sequence_Trt_Growing_Season_Number,IDSite_Site,IDSite,Site_Name,Site_Country,Site_Latitude,Site_Longitude,Site_Coordinate_Source,Site_Soil_Depth_Variable_m,Site_Soil_Classification_Name,Site_Soil_Texture_Name,Site_Soil_pH,Site_Precipitation_mm,Site_Precipitation_Period,Site_Precipitation_Period_Month,Crop_Sequence_Trt_Species_Order,Crop_Sequence_Trt_Name,Crop_Sequence_Trt_Species_Number,IDRotation_CropSystem,Crop_Sequence_Treatment_Name,Crop_Site_Growing_Season_ID,Crop_Growing_Season_Year_First,Crop_Growing_Season_Year_Last,Crop_Growing_Season_Number,Crop_Species_Scientific_Name,Crop_Species_Common_Name,Crop_Species_Legume,IDRotation,Crop_Date_Harvest,Crop_Date_Seeding,Crop_Following_Number,Crop_Multiple_Following_For_Same_Preceding,Crop_Across_Treatment_Averaged_Value,Crop_Across_Species_Same_Treatment_Value,Crop_Replicate_Number,Crop_Yield_Grain,Crop_Yield_Grain_Unit,identifiant_Paper,Crop_Date_From_Seeding_To_Harvest_Day_Number,Site_Precipitation_Period_Year,Site_City_State_Region,Site_Temperature_Period_Month,Site_Temperature_Celsius,Site_Temperature_Period
17,1186,1,Interstate Payco 9206 ,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Soybean,Late-planted crops,1,425,Late-planted crops,28,1995,1997,3,Glycine max,Soybean,1,425,NA NA 1995-NA NA 1996-NA NA 1997,27 May 1995-27 May 1996-27 May 1997,0,0,0,1,9,1.02,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
18,1185,1,Black Turtle,1.0,79,79,Mandan,United States of America,46.83,-100.89,http://mynasadata.larc.nasa.gov/latitudelongitude-finder/,NA,Pachic Haplustoll (Temvik-Wilton series),Silty loam,NA,480,Annual,Jan.-Dec.,Kidney bean,Late-planted crops,1,426,Late-planted crops,28,1995,1997,3,Phaseolus vulgaris,Kidney bean,1,426,NA NA 1995-NA NA 1996-NA NA 1997,27 May 1995-27 May 1996-27 May 1997,0,0,0,1,9,1.44,t.ha-1,40,NA,from 1995 to 1997,NA,May-Sep.,18.0,Growing season
19,1189,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,29,2001,2002,1,Pisum sativum,Garden pea,1,427,NA NA 2002,18 Sep. 2001,0,0,1,1,8,1.81,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
20,1195,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,30,2002,2003,1,Pisum sativum,Garden pea,1,427,NA NA 2003,16 Sep. 2002,0,0,1,1,8,0.85,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
21,1201,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Early,1,427,706 Early,31,2003,2004,1,Pisum sativum,Garden pea,1,427,NA NA 2004,12 Sep. 2003,0,0,1,1,8,1.36,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
22,1190,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,29,2001,2002,1,Pisum sativum,Garden pea,1,428,NA NA 2002,18 Sep. 2001,0,0,1,1,8,2.02,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
23,1196,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,30,2002,2003,1,Pisum sativum,Garden pea,1,428,NA NA 2003,16 Sep. 2002,0,0,1,1,8,0.99,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
24,1202,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Early,1,428,726 Early,31,2003,2004,1,Pisum sativum,Garden pea,1,428,NA NA 2004,12 Sep. 2003,0,0,1,1,8,1.61,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
25,1191,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,29,2001,2002,1,Pisum sativum,Garden pea,1,429,NA NA 2002,02 Oct. 2001,0,0,1,1,8,1.66,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
26,1197,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,30,2002,2003,1,Pisum sativum,Garden pea,1,429,NA NA 2003,30 Sep. 2002,0,0,1,1,8,0.76,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
27,1203,1,706,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,706 Late,1,429,706 Late,31,2003,2004,1,Pisum sativum,Garden pea,1,429,NA NA 2004,30 Sep. 2003,0,0,1,1,8,1.21,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
28,1192,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,29,2001,2002,1,Pisum sativum,Garden pea,1,430,NA NA 2002,02 Oct. 2001,0,0,1,1,8,1.85,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
29,1198,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,30,2002,2003,1,Pisum sativum,Garden pea,1,430,NA NA 2003,30 Sep. 2002,0,0,1,1,8,0.92,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
30,1204,1,726,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,726 Late,1,430,726 Late,31,2003,2004,1,Pisum sativum,Garden pea,1,430,NA NA 2004,30 Sep. 2003,0,0,1,1,8,1.35,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
31,1193,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,29,2002,2002,1,Pisum sativum,Garden pea,1,431,NA NA 2002,17 Apr. 2002,0,0,1,1,8,2.03,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
32,1199,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,30,2003,2003,1,Pisum sativum,Garden pea,1,431,NA NA 2003,11 Apr. 2003,0,0,1,1,8,1.13,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
33,1205,1,Mozart,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,431,Mozart Spring,31,2004,2004,1,Pisum sativum,Garden pea,1,431,NA NA 2004,08 Apr. 2004,0,0,1,1,8,1.56,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
34,1194,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,29,2002,2002,1,Pisum sativum,Garden pea,1,432,NA NA 2002,17 Apr. 2002,0,0,1,1,8,1.88,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
35,1200,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,30,2003,2003,1,Pisum sativum,Garden pea,1,432,NA NA 2003,11 Apr. 2003,0,0,1,1,8,1.21,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
36,1206,1,Delta,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,432,Delta Spring,31,2004,2004,1,Pisum sativum,Garden pea,1,432,NA NA 2004,08 Apr. 2004,0,0,1,1,8,1.70,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
37,1207,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,29,2001,2002,1,Lens culinaris,Lentil,1,433,NA NA 2002,18 Sep. 2001,0,0,1,1,8,1.41,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
38,1214,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,30,2002,2003,1,Lens culinaris,Lentil,1,433,NA NA 2003,16 Sep. 2002,0,0,1,1,8,1.15,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
39,1220,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Early,1,433,Morton Early,31,2003,2004,1,Lens culinaris,Lentil,1,433,NA NA 2004,12 Sep. 2003,0,0,1,1,8,1.53,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
40,1208,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,29,2001,2002,1,Lens culinaris,Lentil,1,434,NA NA 2002,18 Sep. 2001,0,0,1,1,8,1.42,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
41,1215,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,30,2002,2003,1,Lens culinaris,Lentil,1,434,NA NA 2003,16 Sep. 2002,0,0,1,1,8,1.19,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
42,1221,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Early,1,434,079 Early,31,2003,2004,1,Lens culinaris,Lentil,1,434,NA NA 2004,12 Sep. 2003,0,0,1,1,8,1.29,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
43,1209,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,29,2001,2002,1,Lens culinaris,Lentil,1,435,NA NA 2002,02 Oct. 2001,0,0,1,1,8,1.38,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
44,1216,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,30,2002,2003,1,Lens culinaris,Lentil,1,435,NA NA 2003,30 Sep. 2002,0,0,1,1,8,1.04,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
45,1222,1,Monton,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Monton Late,1,435,Morton Late,31,2003,2004,1,Lens culinaris,Lentil,1,435,NA NA 2004,30 Sep. 2003,0,0,1,1,8,1.23,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
46,1212,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,29,2001,2002,1,Lens culinaris,Lentil,1,436,NA NA 2002,02 Oct. 2001,0,0,1,1,8,1.30,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
47,1217,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,30,2002,2003,1,Lens culinaris,Lentil,1,436,NA NA 2003,30 Sep. 2002,0,0,1,1,8,0.85,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
48,1223,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,31,2003,2004,1,Lens culinaris,Lentil,1,436,NA NA 2004,30 Sep. 2003,0,0,1,1,8,1.03,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
49,1210,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,29,2002,2002,1,Lens culinaris,Lentil,1,437,NA NA 2002,17 Apr. 2002,0,0,1,1,8,1.15,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
50,1218,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,30,2003,2003,1,Lens culinaris,Lentil,1,437,NA NA 2003,11 Apr. 2003,0,0,1,1,8,0.74,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
51,1224,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,31,2004,2004,1,Lens culinaris,Lentil,1,437,NA NA 2004,08 Apr. 2004,0,0,1,1,8,1.09,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
52,1213,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,29,2002,2002,1,Lens culinaris,Lentil,1,438,NA NA 2002,17 Apr. 2002,0,0,1,1,8,1.40,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
53,1219,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,30,2003,2003,1,Lens culinaris,Lentil,1,438,NA NA 2003,11 Apr. 2003,0,0,1,1,8,0.66,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
54,1225,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,NA,Typic Calciboroll (Judith series),Loam,NA,357,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,31,2004,2004,1,Lens culinaris,Lentil,1,438,NA NA 2004,08 Apr. 2004,0,0,1,1,8,1.15,t.ha-1,42,NA,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual
55,1226,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,NA,Typic Haploboroll (Amsterdam series),Silt,NA,349,Annual,Jan.-Dec.,Garden pea,706 Early,1,439,706 Early,32,2001,2002,1,Pisum sativum,Garden pea,1,439,NA NA 2002,12 Sep. 2001,0,0,1,1,8,1.49,t.ha-1,42,NA,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual
56,1232,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,NA,Typic Haploboroll (Amsterdam series),Silt,NA,349,Annual,Jan.-Dec.,Garden pea,706 Early,1,439,706 Early,33,2002,2003,1,Pisum sativum,Garden pea,1,439,NA NA 2003,13 Sep. 2002,0,0,1,1,8,1.61,t.ha-1,42,NA,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual
57,1227,1,726,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,NA,Typic Haploboroll (Amsterdam series),Silt,NA,349,Annual,Jan.-Dec.,Garden pea,726 Early,1,442,726 Early,32,2001,2002,1,Pisum sativum,Garden pea,1,442,NA NA 2002,12 Sep. 2001,0,0,1,1,8,1.60,t.ha-1,42,NA,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual
