IDCrop,Crop_Sequence_Trt_Species_Legume_Harvested,Crop_Sequence_Trt_Cultivar_Name,Crop_Sequence_Trt_Growing_Season_Number,IDSite_Site,IDSite,Site_Name,Site_Country,Site_Latitude,Site_Longitude,Site_Coordinate_Source,Site_Soil_Depth_Variable_m,Site_Soil_Classification_Name,Site_Soil_Texture_Name,Site_Soil_pH,Site_Precipitation_mm,Site_Precipitation_Period,Site_Precipitation_Period_Month,Crop_Sequence_Trt_Species_Order,Crop_Sequence_Trt_Name,Crop_Sequence_Trt_Species_Number,IDRotation_CropSystem,Crop_Sequence_Treatment_Name,Crop_Site_Growing_Season_ID,Crop_Growing_Season_Year_First,Crop_Growing_Season_Year_Last,Crop_Growing_Season_Number,Crop_Species_Scientific_Name,Crop_Species_Common_Name,Crop_Species_Legume,IDRotation,Crop_Date_Harvest,Crop_Date_Seeding,Crop_Following_Number,Crop_Multiple_Following_For_Same_Preceding,Crop_Across_Treatment_Averaged_Value,Crop_Across_Species_Same_Treatment_Value,Crop_Replicate_Number,Crop_Yield_Grain,Crop_Yield_Grain_Unit,identifiant_Paper,Crop_Date_From_Seeding_To_Harvest_Day_Number,Site_Precipitation_Period_Year,Site_City_State_Region,Site_Temperature_Period_Month,Site_Temperature_Celsius,Site_Temperature_Period,Averege_Humidity,Averege_Solar
1212,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,29,2001,2002,1,Lens culinaris,Lentil,1,436,NA NA 2002,02 Oct. 2001,0,0,1,1,8.0,1.3,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1217,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,30,2002,2003,1,Lens culinaris,Lentil,1,436,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.85,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1223,1,079,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,079 Late,1,436,079 Late,31,2003,2004,1,Lens culinaris,Lentil,1,436,NA NA 2004,30 Sep. 2003,0,0,1,1,8.0,1.03,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1210,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,29,2002,2002,1,Lens culinaris,Lentil,1,437,NA NA 2002,17 Apr. 2002,0,0,1,1,8.0,1.15,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1218,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,30,2003,2003,1,Lens culinaris,Lentil,1,437,NA NA 2003,11 Apr. 2003,0,0,1,1,8.0,0.74,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1224,1,Brewer,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,437,Brewer Spring,31,2004,2004,1,Lens culinaris,Lentil,1,437,NA NA 2004,08 Apr. 2004,0,0,1,1,8.0,1.09,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1213,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,29,2002,2002,1,Lens culinaris,Lentil,1,438,NA NA 2002,17 Apr. 2002,0,0,1,1,8.0,1.4,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1219,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,30,2003,2003,1,Lens culinaris,Lentil,1,438,NA NA 2003,11 Apr. 2003,0,0,1,1,8.0,0.66,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1225,1,Richlea,1.0,80,80,Moccasin,United States of America,47.03,-109.57,Article,,Typic Calciboroll (Judith series),Loam,,357.0,Annual,Jan.-Dec.,Lentil,Richlea Spring,1,438,Richlea Spring,31,2004,2004,1,Lens culinaris,Lentil,1,438,NA NA 2004,08 Apr. 2004,0,0,1,1,8.0,1.15,t.ha-1,42,,from 2001 to 2004,Montana,Jan.-Dec.,6.9,Annual,80.95502278227791,4305.984787530769
1226,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,706 Early,1,439,706 Early,32,2001,2002,1,Pisum sativum,Garden pea,1,439,NA NA 2002,12 Sep. 2001,0,0,1,1,8.0,1.49,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1232,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,706 Early,1,439,706 Early,33,2002,2003,1,Pisum sativum,Garden pea,1,439,NA NA 2003,13 Sep. 2002,0,0,1,1,8.0,1.61,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1227,1,726,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,726 Early,1,442,726 Early,32,2001,2002,1,Pisum sativum,Garden pea,1,442,NA NA 2002,12 Sep. 2001,0,0,1,1,8.0,1.6,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1233,1,726,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,726 Early,1,442,726 Early,33,2002,2003,1,Pisum sativum,Garden pea,1,442,NA NA 2003,13 Sep. 2002,0,0,1,1,8.0,1.86,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1228,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,706 Late,1,445,706 Late,32,2001,2002,1,Pisum sativum,Garden pea,1,445,NA NA 2002,26 Sep. 2001,0,0,1,1,8.0,1.55,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1234,1,706,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,706 Late,1,445,706 Late,33,2002,2003,1,Pisum sativum,Garden pea,1,445,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,1.12,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1229,1,726,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,726 Late,1,448,726 Late,32,2001,2002,1,Pisum sativum,Garden pea,1,448,NA NA 2002,26 Sep. 2001,0,0,1,1,8.0,1.7,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1235,1,726,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,726 Late,1,448,726 Late,33,2002,2003,1,Pisum sativum,Garden pea,1,448,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.56,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1230,1,Mozart,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,451,Mozart Spring,32,2002,2002,1,Pisum sativum,Garden pea,1,451,NA NA 2002,11 Apr. 2002,0,0,1,1,8.0,2.18,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1236,1,Mozart,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,Mozart Spring,1,451,Mozart Spring,33,2003,2003,1,Pisum sativum,Garden pea,1,451,NA NA 2003,09 Apr. 2003,0,0,1,1,8.0,1.94,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1231,1,Delta,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,454,Delta Spring,32,2002,2002,1,Pisum sativum,Garden pea,1,454,NA NA 2002,11 Apr. 2002,0,0,1,1,8.0,2.03,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1237,1,Delta,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Garden pea,Delta Spring,1,454,Delta Spring,33,2003,2003,1,Pisum sativum,Garden pea,1,454,NA NA 2003,09 Apr. 2003,0,0,1,1,8.0,2.23,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1238,1,Monton,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,Monton Early,1,457,Morton Early,32,2001,2002,1,Lens culinaris,Lentil,1,457,NA NA 2002,12 Sep. 2001,0,0,1,1,8.0,0.85,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1244,1,Monton,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,Monton Early,1,457,Morton Early,33,2002,2003,1,Lens culinaris,Lentil,1,457,NA NA 2003,13 Sep. 2002,0,0,1,1,8.0,1.44,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1239,1,079,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,079 Early,1,460,079 Early,32,2001,2002,1,Lens culinaris,Lentil,1,460,NA NA 2002,12 Sep. 2001,0,0,1,1,8.0,0.98,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1245,1,079,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,079 Early,1,460,079 Early,33,2002,2003,1,Lens culinaris,Lentil,1,460,NA NA 2003,13 Sep. 2002,0,0,1,1,8.0,1.42,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1240,1,Monton,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,Monton Late,1,463,Morton Late,32,2001,2002,1,Lens culinaris,Lentil,1,463,NA NA 2002,26 Sep. 2001,0,0,1,1,8.0,0.92,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1246,1,Monton,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,Monton Late,1,463,Morton Late,33,2002,2003,1,Lens culinaris,Lentil,1,463,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.58,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1241,1,079,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,079 Late,1,466,079 Late,32,2001,2002,1,Lens culinaris,Lentil,1,466,NA NA 2002,26 Sep. 2001,0,0,1,1,8.0,0.85,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1247,1,079,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,079 Late,1,466,079 Late,33,2002,2003,1,Lens culinaris,Lentil,1,466,NA NA 2003,30 Sep. 2002,0,0,1,1,8.0,0.37,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
1242,1,Brewer,1.0,81,81,Amsterdam,United States of America,45.44,-111.26,Article,,Typic Haploboroll (Amsterdam series),Silt,,349.0,Annual,Jan.-Dec.,Lentil,Brewer Spring,1,469,Brewer Spring,32,2002,2002,1,Lens culinaris,Lentil,1,469,NA NA 2002,11 Apr. 2002,0,0,1,1,8.0,1.14,t.ha-1,42,,from 2001 to 2003,Montana,Jan.-Dec.,6.0,Annual,85.83711407108393,4253.3469561572465
